anio,lengua,lengua_nombre,variante,cve_ent,certeza,num
1990,0509,Mazateco,mazateco de Acatepec,020,estimada,33.7
1990,0509,Mazateco,mazateco del sur,020,estimada,27.4
1990,0509,Mazateco,mazateco de Tecóatl,020,estimada,27.0
1990,0509,Mazateco,mazateco de Huehuetlán,020,estimada,18.2
1990,0509,Mazateco,mazateco de Ocopetatillo,020,estimada,17.4
1990,0509,Mazateco,,009,sin,80.0
1990,0509,Mazateco,,007,sin,20.0
1990,0509,Mazateco,,015,sin,10.0
1990,0509,Mazateco,mazateco del norte,030,unica,120.0
1990,0509,Mazateco,mazateco de Puebla,021,unica,10.0
1990,0511,Chocholteco,chocholteco del sur,020,estimada,51.8
1990,0511,Chocholteco,chocholteco del este,020,estimada,41.9
1990,0511,Chocholteco,chocholteco del oeste,020,estimada,16.3
1990,0511,Chocholteco,,021,sin,90.0
1990,0511,Chocholteco,,009,sin,20.0
1990,0513,Zapoteco,zapoteco de la planicie costera,020,estimada,3633.2
1990,0513,Zapoteco,zapoteco de la costa central,020,estimada,1240.1
1990,0513,Zapoteco,"zapoteco de Valles, del norte central",020,estimada,769.6
1990,0513,Zapoteco,"zapoteco de Valles, del noroeste medio",020,estimada,688.4
1990,0513,Zapoteco,zapoteco de la costa oeste,020,estimada,444.4
1990,0513,Zapoteco,"zapoteco de Valles, del este medio",020,estimada,388.9
1990,0513,Zapoteco,"zapoteco de la Sierra sur, central",020,estimada,364.7
1990,0513,Zapoteco,"zapoteco serrano, del noroeste bajo",020,estimada,344.5
1990,0513,Zapoteco,"zapoteco de Valles, del este central",020,estimada,283.4
1990,0513,Zapoteco,zapoteco de la costa noreste,020,estimada,261.0
1990,0513,Zapoteco,zapoteco de Texmelucan,020,estimada,258.3
1990,0513,Zapoteco,"zapoteco de la Sierra sur, noreste",020,estimada,241.4
1990,0513,Zapoteco,"zapoteco de Valles, del noreste",020,estimada,167.9
1990,0513,Zapoteco,"zapoteco de Valles, del suroeste central",020,estimada,150.7
1990,0513,Zapoteco,zapoteco de Petapa,020,estimada,149.4
1990,0513,Zapoteco,"zapoteco de Valles, noroeste",020,estimada,137.9
1990,0513,Zapoteco,"zapoteco de la Sierra sur, noroeste alto",020,estimada,137.1
1990,0513,Zapoteco,"zapoteco serrano, del sureste",020,estimada,113.9
1990,0513,Zapoteco,zapoteco de Valles del sur,020,estimada,107.5
1990,0513,Zapoteco,"zapoteco de la Sierra sur, oeste bajo",020,estimada,107.2
1990,0513,Zapoteco,"zapoteco serrano, bajo",020,estimada,102.1
1990,0513,Zapoteco,"zapoteco de Valles, del noroeste bajo",020,estimada,96.2
1990,0513,Zapoteco,"zapoteco de la Sierra sur, del este bajo",020,estimada,96.1
1990,0513,Zapoteco,zapoteco de San Vicente Coatlán,020,estimada,95.4
1990,0513,Zapoteco,"zapoteco de la montaña del Istmo, bajo",020,estimada,92.7
1990,0513,Zapoteco,"zapoteco de Valles, del suroeste medio",020,estimada,89.1
1990,0513,Zapoteco,"zapoteco de Valles, de suroeste alto",020,estimada,86.2
1990,0513,Zapoteco,"zapoteco de Valles, del centro bajo",020,estimada,83.1
1990,0513,Zapoteco,zapoteco de la costa este,020,estimada,81.8
1990,0513,Zapoteco,"zapoteco de Sierra sur, del noreste alto",020,estimada,79.9
1990,0513,Zapoteco,"zapoteco serrano, del oeste",020,estimada,79.9
1990,0513,Zapoteco,"zapoteco de la montaña del Istmo, alto",020,estimada,77.2
1990,0513,Zapoteco,"zapoteco serrano, del sureste bajo",020,estimada,72.2
1990,0513,Zapoteco,"zapoteco de la Sierra sur, del norte",020,estimada,71.4
