anio,nivel,cve,nombre,poblacion,sexo,num,den,casos,ee,cota,fuente,universo
1995,alcaldia,008,La Magdalena Contreras,hablantes5,Total,2218.0,190837.0,,,censo,"Conteo de Población y Vivienda 1995 (INEGI), ITER",Población de 5 años y más
1995,alcaldia,008,La Magdalena Contreras,monolingues,Total,3.0,2218.0,,,censo,"Conteo de Población y Vivienda 1995 (INEGI), ITER",Hablantes de lengua indígena
1995,alcaldia,009,Milpa Alta,hablantes5,Total,2891.0,71599.0,,,censo,"Conteo de Población y Vivienda 1995 (INEGI), ITER",Población de 5 años y más
1995,alcaldia,009,Milpa Alta,monolingues,Total,7.0,2891.0,,,censo,"Conteo de Población y Vivienda 1995 (INEGI), ITER",Hablantes de lengua indígena
1995,alcaldia,010,Álvaro Obregón,hablantes5,Total,7166.0,611960.0,,,censo,"Conteo de Población y Vivienda 1995 (INEGI), ITER",Población de 5 años y más
1995,alcaldia,010,Álvaro Obregón,monolingues,Total,15.0,7166.0,,,censo,"Conteo de Población y Vivienda 1995 (INEGI), ITER",Hablantes de lengua indígena
1995,alcaldia,011,Tláhuac,hablantes5,Total,2430.0,226258.0,,,censo,"Conteo de Población y Vivienda 1995 (INEGI), ITER",Población de 5 años y más
1995,alcaldia,011,Tláhuac,monolingues,Total,12.0,2430.0,,,censo,"Conteo de Población y Vivienda 1995 (INEGI), ITER",Hablantes de lengua indígena
1995,alcaldia,012,Tlalpan,hablantes5,Total,7200.0,499861.0,,,censo,"Conteo de Población y Vivienda 1995 (INEGI), ITER",Población de 5 años y más
1995,alcaldia,012,Tlalpan,monolingues,Total,10.0,7200.0,,,censo,"Conteo de Población y Vivienda 1995 (INEGI), ITER",Hablantes de lengua indígena
1995,alcaldia,013,Xochimilco,hablantes5,Total,5362.0,297376.0,,,censo,"Conteo de Población y Vivienda 1995 (INEGI), ITER",Población de 5 años y más
1995,alcaldia,013,Xochimilco,monolingues,Total,16.0,5362.0,,,censo,"Conteo de Población y Vivienda 1995 (INEGI), ITER",Hablantes de lengua indígena
1995,alcaldia,014,Benito Juárez,hablantes5,Total,4549.0,345590.0,,,censo,"Conteo de Población y Vivienda 1995 (INEGI), ITER",Población de 5 años y más
1995,alcaldia,014,Benito Juárez,monolingues,Total,5.0,4549.0,,,censo,"Conteo de Población y Vivienda 1995 (INEGI), ITER",Hablantes de lengua indígena
1995,alcaldia,015,Cuauhtémoc,hablantes5,Total,8057.0,495884.0,,,censo,"Conteo de Población y Vivienda 1995 (INEGI), ITER",Población de 5 años y más
1995,alcaldia,015,Cuauhtémoc,monolingues,Total,43.0,8057.0,,,censo,"Conteo de Población y Vivienda 1995 (INEGI), ITER",Hablantes de lengua indígena
1995,alcaldia,016,Miguel Hidalgo,hablantes5,Total,3852.0,336618.0,,,censo,"Conteo de Población y Vivienda 1995 (INEGI), ITER",Población de 5 años y más
1995,alcaldia,016,Miguel Hidalgo,monolingues,Total,8.0,3852.0,,,censo,"Conteo de Población y Vivienda 1995 (INEGI), ITER",Hablantes de lengua indígena
1995,alcaldia,017,Venustiano Carranza,hablantes5,Total,4794.0,442887.0,,,censo,"Conteo de Población y Vivienda 1995 (INEGI), ITER",Población de 5 años y más
1995,alcaldia,017,Venustiano Carranza,monolingues,Total,8.0,4794.0,,,censo,"Conteo de Población y Vivienda 1995 (INEGI), ITER",Hablantes de lengua indígena
1995,entidad,09,Ciudad de México,hablantes5,Total,100890.0,7689652.0,,,censo,"Conteo de Población y Vivienda 1995 (INEGI), ITER",Población de 5 años y más
1995,entidad,09,Ciudad de México,monolingues,Total,297.0,100890.0,,,censo,"Conteo de Población y Vivienda 1995 (INEGI), ITER",Hablantes de lengua indígena
2000,alcaldia,002,Azcapotzalco,ambas,Hombres,385.0,191765.0,16585.0,3.2e-05,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,002,Azcapotzalco,ambas,Mujeres,656.0,214361.0,18534.0,0.000136,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,002,Azcapotzalco,ambas,Total,1041.0,406126.0,35119.0,8.7e-05,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,002,Azcapotzalco,autoads,Hombres,1605.0,191765.0,16585.0,0.000213,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,002,Azcapotzalco,autoads,Mujeres,1963.0,214361.0,18534.0,0.003503,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,002,Azcapotzalco,autoads,Total,3568.0,406126.0,35119.0,0.003403,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,002,Azcapotzalco,hablantes5,Total,5093.0,400010.0,,,censo,"Censo General de Población y Vivienda 2000 (INEGI), ITER",Población de 5 años y más
2000,alcaldia,002,Azcapotzalco,monolingues,Total,26.0,5093.0,,,censo,"Censo General de Población y Vivienda 2000 (INEGI), ITER",Hablantes de lengua indígena
2000,alcaldia,002,Azcapotzalco,todas,Hombres,3291.0,191765.0,16585.0,0.003281,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,002,Azcapotzalco,todas,Mujeres,4227.0,214361.0,18534.0,0.003497,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,002,Azcapotzalco,todas,Total,7518.0,406126.0,35119.0,0.003452,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,003,Coyoacán,ambas,Hombres,883.0,271820.0,20026.0,0.000386,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,003,Coyoacán,ambas,Mujeres,2050.0,313862.0,23130.0,0.000321,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,003,Coyoacán,ambas,Total,2933.0,585682.0,43156.0,0.000331,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,003,Coyoacán,autoads,Hombres,1731.0,271820.0,20026.0,0.00055,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,003,Coyoacán,autoads,Mujeres,2969.0,313862.0,23130.0,0.000395,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,003,Coyoacán,autoads,Total,4700.0,585682.0,43156.0,0.000509,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,003,Coyoacán,hablantes5,Total,11232.0,584044.0,,,censo,"Censo General de Población y Vivienda 2000 (INEGI), ITER",Población de 5 años y más
2000,alcaldia,003,Coyoacán,monolingues,Total,27.0,11232.0,,,censo,"Censo General de Población y Vivienda 2000 (INEGI), ITER",Hablantes de lengua indígena
2000,alcaldia,003,Coyoacán,todas,Hombres,5349.0,271820.0,20026.0,0.001348,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,003,Coyoacán,todas,Mujeres,8490.0,313862.0,23130.0,0.001621,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,003,Coyoacán,todas,Total,13839.0,585682.0,43156.0,0.001455,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,004,Cuajimalpa de Morelos,ambas,Hombres,144.0,60421.0,6004.0,,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,004,Cuajimalpa de Morelos,ambas,Mujeres,553.0,74786.0,7198.0,0.000333,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,004,Cuajimalpa de Morelos,ambas,Total,697.0,135207.0,13202.0,0.000159,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,004,Cuajimalpa de Morelos,autoads,Hombres,223.0,60421.0,6004.0,0.00035,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,004,Cuajimalpa de Morelos,autoads,Mujeres,704.0,74786.0,7198.0,0.000271,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,004,Cuajimalpa de Morelos,autoads,Total,927.0,135207.0,13202.0,0.000436,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,004,Cuajimalpa de Morelos,hablantes5,Total,2010.0,131824.0,,,censo,"Censo General de Población y Vivienda 2000 (INEGI), ITER",Población de 5 años y más
2000,alcaldia,004,Cuajimalpa de Morelos,monolingues,Total,8.0,2010.0,,,censo,"Censo General de Población y Vivienda 2000 (INEGI), ITER",Hablantes de lengua indígena
2000,alcaldia,004,Cuajimalpa de Morelos,todas,Hombres,798.0,60421.0,6004.0,0.000667,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,004,Cuajimalpa de Morelos,todas,Mujeres,1861.0,74786.0,7198.0,0.003751,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,004,Cuajimalpa de Morelos,todas,Total,2659.0,135207.0,13202.0,0.002262,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,005,Gustavo A. Madero,ambas,Hombres,2152.0,531361.0,41650.0,0.000212,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,005,Gustavo A. Madero,ambas,Mujeres,3004.0,587492.0,46182.0,0.000112,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,005,Gustavo A. Madero,ambas,Total,5156.0,1118853.0,87832.0,0.000201,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,005,Gustavo A. Madero,autoads,Hombres,3404.0,531361.0,41650.0,0.00028,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,005,Gustavo A. Madero,autoads,Mujeres,4156.0,587492.0,46182.0,0.000151,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,005,Gustavo A. Madero,autoads,Total,7560.0,1118853.0,87832.0,0.000256,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,005,Gustavo A. Madero,hablantes5,Total,17023.0,1117589.0,,,censo,"Censo General de Población y Vivienda 2000 (INEGI), ITER",Población de 5 años y más
2000,alcaldia,005,Gustavo A. Madero,monolingues,Total,88.0,17023.0,,,censo,"Censo General de Población y Vivienda 2000 (INEGI), ITER",Hablantes de lengua indígena
2000,alcaldia,005,Gustavo A. Madero,todas,Hombres,10295.0,531361.0,41650.0,0.00079,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,005,Gustavo A. Madero,todas,Mujeres,12098.0,587492.0,46182.0,0.000671,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,005,Gustavo A. Madero,todas,Total,22393.0,1118853.0,87832.0,0.000751,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,006,Iztacalco,ambas,Hombres,545.0,177165.0,16365.0,0.000289,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,006,Iztacalco,ambas,Mujeres,831.0,198633.0,18402.0,5.9e-05,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,006,Iztacalco,ambas,Total,1376.0,375798.0,34767.0,0.000247,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,006,Iztacalco,autoads,Hombres,1114.0,177165.0,16365.0,0.000408,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,006,Iztacalco,autoads,Mujeres,1555.0,198633.0,18402.0,0.000755,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,006,Iztacalco,autoads,Total,2669.0,375798.0,34767.0,0.000602,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,006,Iztacalco,hablantes5,Total,5389.0,371518.0,,,censo,"Censo General de Población y Vivienda 2000 (INEGI), ITER",Población de 5 años y más
2000,alcaldia,006,Iztacalco,monolingues,Total,33.0,5389.0,,,censo,"Censo General de Población y Vivienda 2000 (INEGI), ITER",Hablantes de lengua indígena
2000,alcaldia,006,Iztacalco,todas,Hombres,3511.0,177165.0,16365.0,0.00089,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,006,Iztacalco,todas,Mujeres,4078.0,198633.0,18402.0,0.001532,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,006,Iztacalco,todas,Total,7589.0,375798.0,34767.0,0.001491,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,007,Iztapalapa,ambas,Hombres,4272.0,762738.0,53350.0,0.000273,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
