anio,nivel,cve,nombre,lengua,lengua_nombre,familia,sexo,num,den,casos,ee,fuente
2015,alcaldia,005,Gustavo A. Madero,0211,Náhuatl,yuto-nahua,Hombres,2257.0,531706.0,29250,0.00040479176282575145,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,007,Iztapalapa,0211,Náhuatl,yuto-nahua,Mujeres,3768.0,911249.0,51766,0.0003104305650983177,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,016,Miguel Hidalgo,0211,Náhuatl,yuto-nahua,Hombres,226.0,160433.0,8977,0.0003045991723424199,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,005,Gustavo A. Madero,0211,Náhuatl,yuto-nahua,Mujeres,2272.0,587418.0,32389,0.00046022447859636644,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,012,Tlalpan,0211,Náhuatl,yuto-nahua,Mujeres,2129.0,342489.0,26957,0.0004214640003077205,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,004,Cuajimalpa de Morelos,0211,Náhuatl,yuto-nahua,Hombres,301.0,91105.0,8684,0.0005222297026494691,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,017,Venustiano Carranza,0211,Náhuatl,yuto-nahua,Hombres,633.0,191031.0,10361,0.00046001065401445117,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,010,Álvaro Obregón,0211,Náhuatl,yuto-nahua,Hombres,1367.0,340293.0,19842,0.0005318581723836205,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,003,Coyoacán,0211,Náhuatl,yuto-nahua,Hombres,1063.0,269097.0,16728,0.00043500990160274546,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,014,Benito Juárez,0501,Otomí,oto-mangue,Mujeres,171.0,219013.0,11405,0.00012598786901685485,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,006,Iztacalco,0501,Otomí,oto-mangue,Mujeres,168.0,199219.0,10107,0.00010285521082305975,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,012,Tlalpan,0501,Otomí,oto-mangue,Hombres,278.0,307584.0,24514,0.0001230373373845525,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,004,Cuajimalpa de Morelos,0501,Otomí,oto-mangue,Mujeres,298.0,98827.0,9090,0.001117035494527668,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,007,Iztapalapa,0501,Otomí,oto-mangue,Hombres,1379.0,836632.0,47722,0.00037400911091281394,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,013,Xochimilco,0501,Otomí,oto-mangue,Hombres,639.0,189662.0,16137,0.0006099084693779133,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,002,Azcapotzalco,0501,Otomí,oto-mangue,Hombres,322.0,180287.0,8814,0.0007005652369338394,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,013,Xochimilco,0501,Otomí,oto-mangue,Mujeres,623.0,207198.0,17066,0.0005146799488028561,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,002,Azcapotzalco,0501,Otomí,oto-mangue,Mujeres,137.0,205484.0,9967,5.834617738345723e-05,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,014,Benito Juárez,0501,Otomí,oto-mangue,Hombres,100.0,186974.0,9548,8.137936117367482e-05,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,006,Iztacalco,0501,Otomí,oto-mangue,Hombres,154.0,176998.0,9001,0.0002323186147002399,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,015,Cuauhtémoc,0501,Otomí,oto-mangue,Mujeres,462.0,269988.0,16823,0.00043904492573704256,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,008,La Magdalena Contreras,0501,Otomí,oto-mangue,Hombres,94.0,110870.0,8222,0.0001382392172364328,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,009,Milpa Alta,0501,Otomí,oto-mangue,Mujeres,366.0,67111.0,9267,0.0011230955888357713,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,011,Tláhuac,0501,Otomí,oto-mangue,Mujeres,180.0,181763.0,10390,0.0002460035785952445,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,017,Venustiano Carranza,0501,Otomí,oto-mangue,Mujeres,150.0,219680.0,11712,0.00035916694966665067,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,010,Álvaro Obregón,0501,Otomí,oto-mangue,Mujeres,294.0,378535.0,22016,0.00012155350083188228,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,003,Coyoacán,0501,Otomí,oto-mangue,Mujeres,403.0,310461.0,19170,0.00010911891849764991,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,015,Cuauhtémoc,0501,Otomí,oto-mangue,Hombres,145.0,244811.0,15065,0.0001241845925785188,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,008,La Magdalena Contreras,0501,Otomí,oto-mangue,Mujeres,180.0,120623.0,8995,0.0001839388682136745,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,009,Milpa Alta,0501,Otomí,oto-mangue,Hombres,398.0,63632.0,8851,0.0008031796780747354,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,011,Tláhuac,0501,Otomí,oto-mangue,Hombres,278.0,164738.0,9567,0.00028251464409518256,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,016,Miguel Hidalgo,0501,Otomí,oto-mangue,Mujeres,314.0,191249.0,10731,0.00021382091642123367,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,005,Gustavo A. Madero,0501,Otomí,oto-mangue,Hombres,1224.0,531706.0,29250,0.0003230697108373011,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,007,Iztapalapa,0501,Otomí,oto-mangue,Mujeres,1997.0,911249.0,51766,0.0005815014598352812,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,016,Miguel Hidalgo,0501,Otomí,oto-mangue,Hombres,274.0,160433.0,8977,0.0002665382981387463,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,005,Gustavo A. Madero,0501,Otomí,oto-mangue,Mujeres,1494.0,587418.0,32389,0.0003991578645923863,"Encuesta Intercensal 2015 (INEGI), microdatos"
