familia,agrupacion,variante,autodenominacion,entidades,municipios,n_localidades
oto-mangue,zapoteco,"zapoteco de Valles, del este medio",dixdà | diza,OAXACA,OAXACA: San Dionisio Ocotepec | OAXACA: San Juan del Río | OAXACA: San Lorenzo Albarradas | OAXACA: San Pablo Villa de Mitla | OAXACA: San Pedro Totolapa | OAXACA: Santiago Matatlán,22
oto-mangue,zapoteco,"zapoteco de Sierra sur, del noreste alto","dichsà | didzá (de Sierra sur, del noreste alto) | ditsáh",OAXACA,OAXACA: Nejapa de Madero | OAXACA: San Carlos Yautepec | OAXACA: San | OAXACA: Pedro Quiatoni,70
oto-mangue,zapoteco,"zapoteco de Valles, del noreste",dichsah | didxazá,OAXACA,OAXACA: San Lorenzo Albarradas | OAXACA: San Pablo Villa de Mitla | OAXACA: Santo Domingo Albarradas | OAXACA: Villa Díaz Ordaz,7
oto-mangue,zapoteco,"zapoteco de la montaña del Istmo, alto",didxsá | ditsá,OAXACA,OAXACA: Guevea de Humbolt | OAXACA: Santa María Totolapilla | OAXACA: Santiago Lachiguiri,41
oto-mangue,zapoteco,"zapoteco de la montaña del Istmo, bajo",ditsire | di'tsiri'e,OAXACA,OAXACA: Guevea de Humboldt | OAXACA: Santa María Guienagati,32
oto-mangue,zapoteco,zapoteco de Petapa,didxazé | dizazi,OAXACA,OAXACA: Santa María Petapa | OAXACA: Santo Domingo Petapa,35
oto-mangue,zapoteco,zapoteco de la planicie costera,dixazà | diidxazá | diixazá,OAXACA,OAXACA: Asunción Ixtaltepec | OAXACA: Chahuites | OAXACA: Ciudad Ixtepec | OAXACA: El Espinal | OAXACA: Juchitán de Zaragoza | OAXACA: Magdalena Tlacotepec | OAXACA: Reforma de Pineda | OAXACA: Salina Cruz | OAXACA: San Blas Atempa | OAXACA: San Francisco Ixhuatán | OAXACA: San Juan Guichicovi | OAXACA: San Pedro Comitancillo | OAXACA: San Pedro Huilotepec | OAXACA: San Pedro Tapanatepec | OAXACA: Santa María Jalapa del Marqués | OAXACA: Santa María Mixtequilla | OAXACA: Santa María Xadani | OAXACA: Santiago Laollaga | OAXACA: Santo Domingo Chihuitán | OAXACA: Santo Domingo Ingenio | OAXACA: Santo Domingo Tehuantepec | OAXACA: Santo Domingo Zanatepec | OAXACA: Unión Hidalgo,344
maya,Akateko,Akateko,Kuti' [kutiʔ],CAMPECHE | CHIAPAS | QUINTANA ROO,CAMPECHE: Champotón | CHIAPAS: Frontera Comalapa | CHIAPAS: La Trinitaria | QUINTANA ROO: Othón P. Blanco,8
maya,Awakateko,Awakateko,Qyool (de Aguacatán),CAMPECHE,CAMPECHE: Champotón,3
maya,chontal de Tabasco,chontal de Tabasco central,yoko t'an (central),TABASCO,TABASCO: Jalpa de Méndez | TABASCO: Nacajuca,81
maya,chontal de Tabasco,chontal de Tabasco del este,yoko t'an (del este),TABASCO,TABASCO: Centro,80
maya,chontal de Tabasco,chontal de Tabasco del sureste,yoko t'an (del sureste),TABASCO,TABASCO: Macuspana,88
maya,chontal de Tabasco,chontal de Tabasco del norte,yoko t'an (del norte),TABASCO,TABASCO: Centla,97
maya,Chuj,Chuj,Koti',CAMPECHE | QUINTANA ROO,CAMPECHE: Campeche | CAMPECHE: Champotón | CAMPECHE: La Independencia | CAMPECHE: La Trinitaria | CAMPECHE: Las Margaritas | CAMPECHE: Maravilla Tenejapa | QUINTANA ROO: Othón P. Blanco,65
maya,ch'ol,ch'ol del noroeste,lakty'añ (del noroeste),CHIAPAS | TABASCO,CHIAPAS: Amatán | CHIAPAS: Huitiupán | CHIAPAS: Las Margaritas | CHIAPAS: Maravilla Tenejapa | CHIAPAS: Oxchuc | CHIAPAS: Palenque | CHIAPAS: Sabanilla | CHIAPAS: Salto de Agua | CHIAPAS: Tila | CHIAPAS: Yajalón | TABASCO: Macuspana | TABASCO: Tacotalpa,955
maya,ch'ol,ch'ol del sureste,lakty'añ (del sureste),CAMPECHE | CHIAPAS | TABASCO,CAMPECHE: Calakmul | CHIAPAS: Benemérito de las Américas | CHIAPAS: Catazajá | CHIAPAS: Chilón | CHIAPAS: Marqués de Comillas | CHIAPAS: Ocosingo | CHIAPAS: Tumbalá | TABASCO: Balancán | TABASCO: Tenosique,388
maya,huasteco,huasteco del occidente,teenek (del occidente) | tenek (del occidente),SAN LUIS POTOSÍ,SAN LUIS POTOSÍ: Aquismón | SAN LUIS POTOSÍ: Ciudad Valles | SAN LUIS POTOSÍ: Coxcatlán | SAN LUIS POTOSÍ: Ébano | SAN LUIS POTOSÍ: Huehuetlán | SAN LUIS POTOSÍ: San Antonio | SAN LUIS POTOSÍ: San Vicente Tancuayalab | SAN LUIS POTOSÍ: Tampamolón Corona | SAN LUIS POTOSÍ: Tamuín | SAN LUIS POTOSÍ: Tancanhuitz de Santos | SAN LUIS POTOSÍ: Tanlajás | SAN LUIS POTOSÍ: Tanquián de Escobedo | SAN LUIS POTOSÍ: Xilitla,962
maya,huasteco,huasteco del centro,teenek (del centro) | tenek (del centro),VERACRUZ DE IGNACIO DE LA LLAVE,VERACRUZ DE IGNACIO DE LA LLAVE: Platón Sánchez | VERACRUZ DE IGNACIO DE LA LLAVE: Tantoyuca | VERACRUZ DE IGNACIO DE LA LLAVE: Tempoal,345
maya,huasteco,huasteco de oriente,teenek (de oriente) | tenek (de oriente),VERACRUZ DE IGNACIO DE LA LLAVE,VERACRUZ DE IGNACIO DE LA LLAVE: Cerro Azul | VERACRUZ DE IGNACIO DE LA LLAVE: Chicontepec | VERACRUZ DE IGNACIO DE LA LLAVE: Chinampa de Gorostiza | VERACRUZ DE IGNACIO DE LA LLAVE: Chontla | VERACRUZ DE IGNACIO DE LA LLAVE: Citlaltépetl | VERACRUZ DE IGNACIO DE LA LLAVE: Ixcatepec | VERACRUZ DE IGNACIO DE LA LLAVE: Naranjos Amatlán | VERACRUZ DE IGNACIO DE LA LLAVE: Tamalín | VERACRUZ DE IGNACIO DE LA LLAVE: Tancoco | VERACRUZ DE IGNACIO DE LA LLAVE: Tantima | VERACRUZ DE IGNACIO DE LA LLAVE: Tepetzintla,166
maya,Ixil,Ixil chajuleño,Ixil (chajuleño),CAMPECHE | QUINTANA ROO,CAMPECHE: Campeche | QUINTANA ROO: Othón P. Blanco,3
maya,Ixil,Ixil nebajeño,Ixil (nebajeño),QUINTANA ROO,QUINTANA ROO: Othón P. Blanco,1
maya,Jakalteko,Jakalteko,Jakalteko-Popti',CAMPECHE | CHIAPAS | QUINTANA ROO,CAMPECHE: Campeche | CAMPECHE: Champotón | CHIAPAS: Amatenango de la Frontera | CHIAPAS: Bella Vista | CHIAPAS: Frontera Comalapa | CHIAPAS: La Trinitaria | QUINTANA ROO: Othón P. Blanco,37
maya,Kaqchikel,Kaqchikel,Kaqchikel,CAMPECHE | QUINTANA ROO,CAMPECHE: Campeche | CAMPECHE: Champotón | QUINTANA ROO: Othón P. Blanco,8
maya,K'iche',K'iche' (oriental),K'iche' (oriental),CAMPECHE | CHIAPAS | QUINTANA ROO,CAMPECHE: Campeche | CAMPECHE: Champotón | CHIAPAS: Las Margaritas | CHIAPAS: Marqués de Comillas | QUINTANA ROO: Othón P. Blanco,9
maya,K'iche',K'iche' (occidental),K'iche' (occidental),CAMPECHE,CAMPECHE: Champotón,1
maya,K'iche',K'iche' (central),K'iche' (central),CAMPECHE,CAMPECHE: Champotón,1
maya,lacandón,lacandón,jach-t'aan,CHIAPAS,CHIAPAS: Ocosingo,9
maya,Mam,Mam de la frontera,Qyool (de la frontera),CHIAPAS,CHIAPAS: Amatenango de la Frontera | CHIAPAS: Bejucal de Ocampo | CHIAPAS: Frontera Comalapa | CHIAPAS: La Independencia | CHIAPAS: La | CHIAPAS: Trinitaria | CHIAPAS: Las Margaritas | CHIAPAS: Maravilla Tenejapa,153
maya,Mam,Mam del norte,Qyool (del norte),CAMPECHE | QUINTANA ROO,CAMPECHE: Campeche | CAMPECHE: Champotón | QUINTANA ROO: Othón P. Blanco,10
maya,Mam,Mam del sur,Qyool (del sur),CAMPECHE | QUINTANA ROO,CAMPECHE: Campeche | CAMPECHE: Champotón | QUINTANA ROO: Othón P. Blanco,4
maya,Mam,Mam de la Sierra,Qyool (de la Sierra),CHIAPAS,CHIAPAS: Bella Vista | CHIAPAS: El Porvenir | CHIAPAS: La Grandeza | CHIAPAS: Mazapa de Madero | CHIAPAS: Motozintla | CHIAPAS: Siltepec,258
maya,Mam,Mam del Soconusco,Qyool Mam | B'anax Mam,CHIAPAS,CHIAPAS: Cacahoatán | CHIAPAS: Huehuetán | CHIAPAS: Huixtla | CHIAPAS: Tapachula | CHIAPAS: Tuxtla Chico | CHIAPAS: Tuzantán | CHIAPAS: Unión Juárez,161
maya,maya,maya,maaya | maaya t'aan | maayáa,CAMPECHE | QUINTANA ROO | YUCATÁN,CAMPECHE: Calakmul | CAMPECHE: Calkiní | CAMPECHE: Campeche | CAMPECHE: Candelaria | CAMPECHE: Champotón | CAMPECHE: Escárcega | CAMPECHE: Hecelchakán | CAMPECHE: Hopelchén | CAMPECHE: Tenabo | QUINTANA ROO: Benito Juárez | QUINTANA ROO: Felipe Carrillo Puerto | QUINTANA ROO: José María Morelos | QUINTANA ROO: Lázaro Cárdenas | QUINTANA ROO: Othón P. Blanco | QUINTANA ROO: Solidaridad | YUCATÁN: Abalá | YUCATÁN: Acanceh | YUCATÁN: Akil Baca | YUCATÁN: Bokobá | YUCATÁN: Buctzotz | YUCATÁN: Cacalchén | YUCATÁN: Calotmul | YUCATÁN: Cansahcab | YUCATÁN: Cantamayec | YUCATÁN: Celestún | YUCATÁN: Cenotillo | YUCATÁN: Chacsinkín | YUCATÁN: Chankom | YUCATÁN: Chapab | YUCATÁN: Chemax | YUCATÁN: Chichimilá | YUCATÁN: Chicxulub Pueblo | YUCATÁN: Chikindzonot | YUCATÁN: Chocholá | YUCATÁN: Chumayel | YUCATÁN: Conkal | YUCATÁN: Cuncunul | YUCATÁN: Cuzamá | YUCATÁN: Dzan | YUCATÁN: Dzemul | YUCATÁN: Dzidzantún | YUCATÁN: Dzilam González | YUCATÁN: Dzilam de Bravo | YUCATÁN: Dzitás | YUCATÁN: Dzoncauich | YUCATÁN: Espita | YUCATÁN: Halachó | YUCATÁN: Hocabá | YUCATÁN: Hoctún | YUCATÁN: Homún | YUCATÁN: Huhí | YUCATÁN: Hunucmá | YUCATÁN: Ixil | YUCATÁN: Izamal | YUCATÁN: Kanasín | YUCATÁN: Kantunil | YUCATÁN: Kaua | YUCATÁN: Kinchil | YUCATÁN: Kopomá | YUCATÁN: Mama | YUCATÁN: Maní | YUCATÁN: Maxcanú | YUCATÁN: Mayapán | YUCATÁN: Mérida | YUCATÁN: Mocochá | YUCATÁN: Motul | YUCATÁN: Muna | YUCATÁN: Muxupip | YUCATÁN: Opichén | YUCATÁN: Oxkutzcab | YUCATÁN: Panabá | YUCATÁN: Peto | YUCATÁN: Progreso | YUCATÁN: Quintana Roo | YUCATÁN: Río Lagartos | YUCATÁN: Sacalum | YUCATÁN: Samahil | YUCATÁN: San Felipe | YUCATÁN: Sanahcat | YUCATÁN: Santa Elena | YUCATÁN: Seyé | YUCATÁN: Sinanché | YUCATÁN: Sotuta | YUCATÁN: Sucilá | YUCATÁN: Sudzal | YUCATÁN: Suma | YUCATÁN: Tahdziú | YUCATÁN: Tahmek | YUCATÁN: Teabo | YUCATÁN: Tecoh | YUCATÁN: Tekal de Venegas | YUCATÁN: Tekantó | YUCATÁN: Tekax | YUCATÁN: Tekit | YUCATÁN: Tekom | YUCATÁN: Telchac Pueblo | YUCATÁN: Telchac Puerto | YUCATÁN: Temax | YUCATÁN: Temozón | YUCATÁN: Tepakán | YUCATÁN: Tetiz | YUCATÁN: Teya | YUCATÁN: Ticul | YUCATÁN: Timucuy | YUCATÁN: Tinum | YUCATÁN: Tixcacalcupul | YUCATÁN: Tixkokob | YUCATÁN: Tixméhuac | YUCATÁN: Tixpehual | YUCATÁN: Tizimín | YUCATÁN: Tunkás | YUCATÁN: Tzucacab | YUCATÁN: Uayma | YUCATÁN: Yaxkukul | YUCATÁN: Yobaín,4195
maya,qato'k,mocho',mocho',CHIAPAS,CHIAPAS: Motozintla,1
maya,qato'k,tuzanteco,muchu',CHIAPAS,CHIAPAS: Tuzantán,2
maya,Q'anjob'al,Q'anjob'al,K'anjob'al,CAMPECHE | CHIAPAS | QUINTANA ROO,CAMPECHE: Campeche | CAMPECHE: Champotón | CHIAPAS: Amatenango de la Frontera | CHIAPAS: Catazajá | CHIAPAS: Bella Vista | CHIAPAS: Frontera Comalapa | CHIAPAS: La Independencia | CHIAPAS: La Trinitaria | CHIAPAS: Las Margaritas | CHIAPAS: Maravilla Tenejapa | QUINTANA ROO: Othón P. Blanco,136
maya,Q'eqchi',Q'eqchi',Q'eqchi',CAMPECHE | QUINTANA ROO,CAMPECHE: Campeche | CAMPECHE: Champotón | QUINTANA ROO: Othón P. Blanco,8
maya,Teko,Teko,Qyool (de Tectitán) | B'a'aj,CHIAPAS,CHIAPAS: Amatenango de la Frontera | CHIAPAS: Frontera Comalapa | CHIAPAS: Mazapa de Madero,18
maya,tojolabal,tojolabal,tojol-ab'al,CHIAPAS,CHIAPAS: Altamirano | CHIAPAS: Comitán de Domínguez | CHIAPAS: La | CHIAPAS: Independencia | CHIAPAS: La Trinitaria | CHIAPAS: Las Margaritas | CHIAPAS: Maravilla Tenejapa | CHIAPAS: Ocosingo,379
maya,tseltal,tseltal del occidente,bats'il k'op (del occidente),CHIAPAS,CHIAPAS: Acala | CHIAPAS: Aldama | CHIAPAS: Amatenango del Valle | CHIAPAS: Bochil | CHIAPAS: Chalchihuitán | CHIAPAS: Chamula | CHIAPAS: Chanal | CHIAPAS: Chenalhó | CHIAPAS: Chiapa de Corzo | CHIAPAS: Chiapilla | CHIAPAS: Comitán de Domínguez | CHIAPAS: El | CHIAPAS: Bosque | CHIAPAS: Huitiupán | CHIAPAS: Huixtán | CHIAPAS: Ixtapa | CHIAPAS: Jitotol | CHIAPAS: Larráinzar | CHIAPAS: Osumacinta | CHIAPAS: Oxchuc | CHIAPAS: Pantelhó | CHIAPAS: Pueblo Nuevo Solistahuacán | CHIAPAS: San Cristóbal de las Casas | CHIAPAS: San Juan Cancuc | CHIAPAS: San Lucas | CHIAPAS: Simojovel | CHIAPAS: Soyaló | CHIAPAS: Tenejapa | CHIAPAS: Teopisca | CHIAPAS: Totolapa | CHIAPAS: Tuxtla Gutiérrez | CHIAPAS: Zinacantán,682
maya,tseltal,tseltal del norte,bats'il k'op (del norte),CHIAPAS | TABASCO,CHIAPAS: Catazajá | CHIAPAS: Chilón | CHIAPAS: La Libertad | CHIAPAS: Ocosingo | CHIAPAS: Palenque | CHIAPAS: Sabanilla | CHIAPAS: Salto de Agua | CHIAPAS: Sitalá | CHIAPAS: Tila | CHIAPAS: Tumbalá | CHIAPAS: Yajalón | TABASCO: Emiliano Zapata,1027
maya,tseltal,tseltal del oriente,bats'il k'op (del oriente),CHIAPAS | TABASCO,CHIAPAS: Altamirano | CHIAPAS: Benemérito de las Américas | CHIAPAS: La Indepedencia | CHIAPAS: Las Margaritas | CHIAPAS: Maravilla Tenejapa | CHIAPAS: Marqués de Comillas | CHIAPAS: Ocosingo | TABASCO: Balancán | TABASCO: Tenosique,752
maya,tseltal,tseltal del sur,bats'il k'op (del sur),CHIAPAS,CHIAPAS: Ángel Albino Corzo | CHIAPAS: Chicomuselo | CHIAPAS: Cintalapa | CHIAPAS: Frontera Comalapa | CHIAPAS: La Concordia | CHIAPAS: Las Rosas | CHIAPAS: La Trinitaria | CHIAPAS: Montecristo de Guerrero | CHIAPAS: Socoltenango | CHIAPAS: Tzimol | CHIAPAS: Venustiano Carranza,344
maya,tsotsil,tsotsil del este alto,bats'i k'op (del este alto),CHIAPAS,CHIAPAS: Huixtán | CHIAPAS: Las Margaritas,32
maya,tsotsil,tsotsil del noroeste,bats'i k'op (del noroeste),CHIAPAS,CHIAPAS: Aldama | CHIAPAS: Chalchihuitán | CHIAPAS: Chenalhó | CHIAPAS: Mitontic | CHIAPAS: Pantelhó,182
maya,tsotsil,tsotsil del norte bajo,bats'i k'op (del norte bajo),CHIAPAS,CHIAPAS: Acala | CHIAPAS: Totolapa | CHIAPAS: Venustiano Carranza,64
maya,tsotsil,tsotsil del centro,bats'i k'op (del centro),CHIAPAS,CHIAPAS: Chamula | CHIAPAS: Las Margaritas | CHIAPAS: Teopisca,171
maya,tsotsil,tsotsil del este bajo,bats'i k'op (del este bajo),CHIAPAS,CHIAPAS: Berriozabal | CHIAPAS: Ixtapa | CHIAPAS: San Lucas | CHIAPAS: Zinacantán,111
maya,tsotsil,tsotsil del norte alto,bats'i k'op (del norte alto),CHIAPAS,CHIAPAS: Amatán | CHIAPAS: Bochil | CHIAPAS: El Bosque | CHIAPAS: Huitiupán | CHIAPAS: Ixhuatán | CHIAPAS: Jitotol | CHIAPAS: Larráinzar | CHIAPAS: Ocozocoautla de Espinosa | CHIAPAS: Pueblo Nuevo Solistahuacán | CHIAPAS: Sabanilla | CHIAPAS: San Andrés Duraznal | CHIAPAS: Santiago el Pinar | CHIAPAS: Simojovel | CHIAPAS: Soyaló,665
maya,tsotsil,tsotsil de los Altos,bats'i k'op (de los Altos),CHIAPAS,CHIAPAS: San Cristóbal de las Casas,74
totonaco-tepehua,tepehua,tepehua del sur,lhiimaqalhqama' | lhiima'alh'ama',HIDALGO | PUEBLA,HIDALGO: Huehuetla | PUEBLA: Pantepec,40
totonaco-tepehua,tepehua,tepehua del norte,lhichiwíin,VERACRUZ DE IGNACIO DE LA LLAVE,VERACRUZ DE IGNACIO DE LA LLAVE: Ixhuatlán de Madero,26
totonaco-tepehua,tepehua,tepehua del oeste,lhiimaasipijni | liimaasipijni,VERACRUZ DE IGNACIO DE LA LLAVE,VERACRUZ DE IGNACIO DE LA LLAVE: Tlachichilco | VERACRUZ DE IGNACIO DE LA LLAVE: Zontecomatlán de López y Fuentes,30
totonaco-tepehua,totonaco,totonaco del sureste,laakanaachiwíin,VERACRUZ DE IGNACIO DE LA LLAVE,VERACRUZ DE IGNACIO DE LA LLAVE: Chiconquiaco | VERACRUZ DE IGNACIO DE LA LLAVE: Jilotepec | VERACRUZ DE IGNACIO DE LA LLAVE: Landero y Coss | VERACRUZ DE IGNACIO DE LA LLAVE: Misantla | VERACRUZ DE IGNACIO DE LA LLAVE: Naolinco | VERACRUZ DE IGNACIO DE LA LLAVE: Yecuatla,61
totonaco-tepehua,totonaco,totonaco central del norte,tachaqawaxti | tutunakuj | tachiwiin,PUEBLA | VERACRUZ DE IGNACIO DE LA LLAVE,PUEBLA: Francisco Z. Mena | PUEBLA: Huauchinango | PUEBLA: Jalpan | PUEBLA: Naupan | PUEBLA: Pantepec | PUEBLA: Tlacuilotepec | PUEBLA: Tlaola | PUEBLA: Tlaxco | PUEBLA: Venustiano Carranza | PUEBLA: Xicotepec | PUEBLA: Zihuateutla | VERACRUZ DE IGNACIO DE LA LLAVE: Ixhuatlán de Madero,367
totonaco-tepehua,totonaco,totonaco del cerro Xinolatépetl,kintachiuinkan,PUEBLA,PUEBLA: Huauchinango,6
totonaco-tepehua,totonaco,totonaco central alto,tutunáku (central alto),VERACRUZ DE IGNACIO DE LA LLAVE,VERACRUZ DE IGNACIO DE LA LLAVE: Filomeno Mata,10
totonaco-tepehua,totonaco,totonaco de la costa,lichiwin tutunaku,VERACRUZ DE IGNACIO DE LA LLAVE,VERACRUZ DE IGNACIO DE LA LLAVE: Cazones | VERACRUZ DE IGNACIO DE LA LLAVE: Coatzintla | VERACRUZ DE IGNACIO DE LA LLAVE: Espinal | VERACRUZ DE IGNACIO DE LA LLAVE: Gutiérrez Zamora | VERACRUZ DE IGNACIO DE LA LLAVE: Martínez de la Torre | VERACRUZ DE IGNACIO DE LA LLAVE: Papantla | VERACRUZ DE IGNACIO DE LA LLAVE: Poza Rica de Hidalgo | VERACRUZ DE IGNACIO DE LA LLAVE: Tecolutla | VERACRUZ DE IGNACIO DE LA LLAVE: Tenampulco | VERACRUZ DE IGNACIO DE LA LLAVE: Tihuatlán | VERACRUZ DE IGNACIO DE LA LLAVE: Tuxpam,803
totonaco-tepehua,totonaco,totonaco del río Necaxa,totonaco (del río Necaxa),PUEBLA,PUEBLA: Jopala | PUEBLA: Zihuateutla,4
totonaco-tepehua,totonaco,totonaco central del sur,tutunáku (central del sur) | tutunakú | totonaco (central del sur),PUEBLA | VERACRUZ DE IGNACIO DE LA LLAVE,PUEBLA: Ahuacatlán | PUEBLA: Amixtlán | PUEBLA: Atlequizayán | PUEBLA: Camocuautla | PUEBLA: Caxhuacan | PUEBLA: Coatepec | PUEBLA: Cuetzalan del Progreso | PUEBLA: Hermenegildo | PUEBLA: Galeana | PUEBLA: Huehuetla | PUEBLA: Hueytamalco | PUEBLA: Hueytlalpan | PUEBLA: Huitzilan de Serdán | PUEBLA: Ixtepec | PUEBLA: Jonotla | PUEBLA: Jopala | PUEBLA: Nauzontla | PUEBLA: Olintla | PUEBLA: San Felipe Tepatlán | PUEBLA: Tepango de Rodríguez | PUEBLA: Tepetzintla | PUEBLA: Tuzamapan de Galeana | PUEBLA: Zacapoaxtla | PUEBLA: Zapotitlán de Méndez | PUEBLA: Zongozotla | VERACRUZ DE IGNACIO DE LA LLAVE: Chumatlán | VERACRUZ DE IGNACIO DE LA LLAVE: Coahuitlán | VERACRUZ DE IGNACIO DE LA LLAVE: Coxquihui | VERACRUZ DE IGNACIO DE LA LLAVE: Coyutla | VERACRUZ DE IGNACIO DE LA LLAVE: Mecatlán | VERACRUZ DE IGNACIO DE LA LLAVE: Zozocolco de Hidalgo,340
tarasca,tarasco,purépecha,p'urhepecha | p'orhepecha,MICHOACÁN DE OCAMPO,MICHOACÁN DE OCAMPO: Coeneo | MICHOACÁN DE OCAMPO: Charapan | MICHOACÁN DE OCAMPO: Cherán | MICHOACÁN DE OCAMPO: Chilchota | MICHOACÁN DE OCAMPO: Erongarícuaro | MICHOACÁN DE OCAMPO: Los Reyes | MICHOACÁN DE OCAMPO: Morelia | MICHOACÁN DE OCAMPO: Nahuatzen | MICHOACÁN DE OCAMPO: Nuevo Parangaricutiro | MICHOACÁN DE OCAMPO: Paracho | MICHOACÁN DE OCAMPO: Pátzcuaro | MICHOACÁN DE OCAMPO: Quiroga | MICHOACÁN DE OCAMPO: Tangamandapio | MICHOACÁN DE OCAMPO: Tangancícuaro | MICHOACÁN DE OCAMPO: Tingambato | MICHOACÁN DE OCAMPO: Tinguindín | MICHOACÁN DE OCAMPO: Tzintzuntzan | MICHOACÁN DE OCAMPO: Uruapan | MICHOACÁN DE OCAMPO: Zacapu,357
mixe-zoque,ayapaneco,ayapaneco,numte oote,TABASCO,TABASCO: Jalpa de Méndez,3
mixe-zoque,mixe,mixe alto del norte,ayöök,OAXACA,OAXACA: Santa María Tlahuitoltepec | OAXACA: Santo Domingo Roayaga | OAXACA: Totontepec Villa de Morelos,20
mixe-zoque,mixe,mixe alto del centro,ayuujk (alto del centro),OAXACA,OAXACA: San Pedro y San Pablo Ayutla | OAXACA: Santa María Tlahuitoltepec | OAXACA: Tamazulapam del Espíritu Santo,85
mixe-zoque,mixe,mixe alto del sur,ayuujk,OAXACA,OAXACA: Mixistlán de la Reforma | OAXACA: Santa María Tepantlali | OAXACA: Santo Domingo Tepuxtepec,44
mixe-zoque,mixe,mixe medio del este,ayuuk (medio del este),OAXACA,OAXACA: San Juan Cotzocón | OAXACA: San Juan Juquila Mixes | OAXACA: San Miguel Quetzaltepec | OAXACA: San Pedro Ocotepec | OAXACA: Santa María Alotepec | OAXACA: Santiago Atitlán | OAXACA: Santiago Zacatepec,114
mixe-zoque,mixe,mixe medio del oeste,eyuk,OAXACA,OAXACA: Asunción Cacalotepec | OAXACA: Santa María Alotepec,15
mixe-zoque,mixe,mixe bajo,ayuk,OAXACA,OAXACA: Camotlán | OAXACA: Coatlán | OAXACA: Matías Romero | OAXACA: Mazatlán | OAXACA: San Juan Guichicovi | OAXACA: Santo Domingo Petapa | OAXACA: Santo Domingo Tehuantepec,166
mixe-zoque,oluteco,oluteco,yaakaw+,VERACRUZ DE IGNACIO DE LA LLAVE,VERACRUZ DE IGNACIO DE LA LLAVE: Oluta,7
mixe-zoque,popoluca de la sierra,popoluca de la Sierra,nuntaj±yi' | nunta anh+maatyi,VERACRUZ DE IGNACIO DE LA LLAVE,VERACRUZ DE IGNACIO DE LA LLAVE: Hueyapan de Ocampo | VERACRUZ DE IGNACIO DE LA LLAVE: Soteapan | VERACRUZ DE IGNACIO DE LA LLAVE: Tatahuicapan de Juárez,89
mixe-zoque,sayulteco,sayulteco,t+kmaya' | yámay,VERACRUZ DE IGNACIO DE LA LLAVE,VERACRUZ DE IGNACIO DE LA LLAVE: Sayula de Alemán,56
mixe-zoque,texistepequeño,texistepequeño,wää 'oot,VERACRUZ DE IGNACIO DE LA LLAVE,VERACRUZ DE IGNACIO DE LA LLAVE: Texistepec,10
mixe-zoque,zoque,zoque del centro,tsuni (del centro),CHIAPAS,CHIAPAS: Copainalá | CHIAPAS: Ostuacán | CHIAPAS: Tecpatán,212
mixe-zoque,zoque,zoque del sur,tsuni (del sur),CHIAPAS,CHIAPAS: Ocozocuautla | CHIAPAS: Tuxtla Gutiérrez,12
mixe-zoque,zoque,zoque del este,ode (del este),CHIAPAS,CHIAPAS: Ixhuatán | CHIAPAS: Ocotepec | CHIAPAS: Tapilula,75
mixe-zoque,zoque,zoque del norte alto,ore (del norte alto),CHIAPAS,CHIAPAS: Amatán | CHIAPAS: Chapultenango | CHIAPAS: Ixtacomitán | CHIAPAS: Juárez | CHIAPAS: Pichucalco | CHIAPAS: Reforma | CHIAPAS: Solosuchiapa,101
mixe-zoque,zoque,zoque del norte bajo,ode (del norte bajo),CHIAPAS,CHIAPAS: Ocotepec | CHIAPAS: Pantepec | CHIAPAS: Rayón | CHIAPAS: Tapalapa,105
mixe-zoque,zoque,zoque del noroeste,ote,CHIAPAS,CHIAPAS: Francisco León,39
mixe-zoque,zoque,zoque del sureste,ore (del sureste),CHIAPAS,CHIAPAS: Jitotol,26
mixe-zoque,zoque,zoque del oeste,angpø'n | angpø'n tsaame,OAXACA,OAXACA: San Miguel Chimalapas | OAXACA: Santa María Chimalapas,34
chontal de Oaxaca,chontal de Oaxaca,chontal de Oaxaca alto,tsame,OAXACA,OAXACA: Asunción Tlacolulita | OAXACA: Magdalena Tequisistlán | OAXACA: San Carlos Yautepec | OAXACA: San Miguel Tenango | OAXACA: Santa María Ecatepec | OAXACA: Santa María Quiegolani | OAXACA: Santo Domingo Tehuantepec,53
chontal de Oaxaca,chontal de Oaxaca,chontal de Oaxaca bajo,tsome,OAXACA,OAXACA: Santa María Ecatepec,4
chontal de Oaxaca,chontal de Oaxaca,chontal de Oaxaca de la costa,lajltyaygi,OAXACA,OAXACA: San Pedro Huamelula | OAXACA: Santiago Astata | OAXACA: Santo Domingo Tehuantepec,23
huave,huave,huave del oeste,ombeayiüts,OAXACA,OAXACA: Juchitán de Zaragoza | OAXACA: San Mateo del Mar,20
huave,huave,huave del este,ombeyajts,OAXACA,OAXACA: San Dionisio del Mar | OAXACA: San Francisco del Mar,14
