familia,agrupacion,variante,autodenominacion,entidades,municipios,n_localidades
oto-mangue,amuzgo,amuzgo alto del este,jnòⁿ' ndá tsjóoⁿ nuàⁿ | jñon'ndaa | ñonndaa,OAXACA,OAXACA: San Pedro Amuzgos,12
oto-mangue,cuicateco,cuicateco del centro,dbaku (del centro) | dibaku,OAXACA,OAXACA: Concepción Pápalo | OAXACA: San Andrés Teotilalpam | OAXACA: San Francisco Chapulapa | OAXACA: San Juan Bautista Cuicatlán | OAXACA: San Juan Tepeuxila | OAXACA: San Pedro Sochiapam | OAXACA: Santa María Pápalo | OAXACA: Santa María Tlalixtac | OAXACA: Santos Reyes Pápalo | OAXACA: Valerio Trujano,103
oto-mangue,cuicateco,cuicateco del norte,duaku | dubaku (del norte),OAXACA,OAXACA: San Andrés Teotilalpam | OAXACA: San Francisco Chapulapa | OAXACA: San Pedro Teutila | OAXACA: Santa María Tlalixtac,26
oto-mangue,cuicateco,cuicateco del oriente,dbaku (del oriente) | dubaku (del oriente),OAXACA,OAXACA: San Andrés Teotilalpam | OAXACA: San Francisco Chapulapa | OAXACA: San Pedro Teutila | OAXACA: Santa María Tlalixtac,34
oto-mangue,chatino,chatino occidental alto,cha' jna'a (occidental alto),OAXACA,OAXACA: San Jacinto Tlacotepec | OAXACA: Santa Cruz Zenzontepec | OAXACA: Santiago Ixtayutla,71
oto-mangue,chatino,chatino occidental bajo,cha' jna'a (occidental bajo),OAXACA,OAXACA: San Pedro Mixtepec Distrito 22 | OAXACA: Tataltepec de Valdés | OAXACA: Villa de Tututepec de Melchor Ocampo,79
oto-mangue,chatino,chatino central,cha' jna'a (central),OAXACA,OAXACA: San Juan Quiahije | OAXACA: San Miguel Panixtlahuaca | OAXACA: San Pedro Juchatengo | OAXACA: Santa Catarina Juquila | OAXACA: Santiago Tetepec | OAXACA: Santiago Yaitepec | OAXACA: Tataltepec de Valdés | OAXACA: Villa Sola de Vega,83
oto-mangue,chatino,chatino oriental bajo,cha' jna'a (oriental bajo),OAXACA,OAXACA: San Gabriel Mixtepec | OAXACA: Santa Catarina Juquila | OAXACA: Santa María Temaxcaltepec | OAXACA: Santos Reyes Nopala,77
oto-mangue,chatino,chatino oriental alto,cha' jna'a (oriental alto),OAXACA,OAXACA: San Gabriel Mixtepec | OAXACA: San Juan Lachao,31
oto-mangue,chatino,chatino de Zacatepec,cha' jna'a (de Zacatepec),OAXACA,OAXACA: Santa Catarina Juquila,1
