lengua,agrupacion,variante,cve_ent,cve_mun,nom_mun,compartido,parte
0211,náhuatl,"náhuatl de la Sierra negra, sur",021,129,San José Miahuatlán,0,1.0
0211,náhuatl,"náhuatl de la Sierra negra, sur",021,214,Zinacatepec,0,1.0
0211,náhuatl,"náhuatl de la Sierra negra, norte",021,010,Ajalpan,0,1.0
0211,náhuatl,"náhuatl de la Sierra negra, norte",021,035,Coxcatlán,1,0.5
0211,náhuatl,"náhuatl de la Sierra negra, norte",021,036,Coyomeapan,0,1.0
0211,náhuatl,"náhuatl de la Sierra negra, norte",021,061,Eloxochitlán,0,1.0
0211,náhuatl,"náhuatl de la Sierra negra, norte",021,103,Nicolás Bravo,0,1.0
0211,náhuatl,"náhuatl de la Sierra negra, norte",021,120,San Antonio Cañada,0,1.0
0211,náhuatl,"náhuatl de la Sierra negra, norte",021,145,San Sebastián Tlacotepec,0,1.0
0211,náhuatl,"náhuatl de la Sierra negra, norte",021,149,Santiago Miahuatlán,0,1.0
0211,náhuatl,"náhuatl de la Sierra negra, norte",021,156,Tehuacán,0,1.0
0211,náhuatl,"náhuatl de la Sierra negra, norte",021,177,Tlacotepec de Benito Juárez,0,1.0
0211,náhuatl,"náhuatl de la Sierra negra, norte",021,195,Vicente Guerrero,0,1.0
0211,náhuatl,"náhuatl de la Sierra negra, norte",021,217,Zoquitlán,0,1.0
0211,náhuatl,náhuatl central de Veracruz,030,006,Acultzingo,0,1.0
0211,náhuatl,náhuatl central de Veracruz,030,020,Atlahuilco,0,1.0
0211,náhuatl,náhuatl central de Veracruz,030,030,Camerino Z. Mendoza,0,1.0
0211,náhuatl,náhuatl central de Veracruz,030,041,Coetzala,0,1.0
0211,náhuatl,náhuatl central de Veracruz,030,081,Ixhuatlancillo,0,1.0
0211,náhuatl,náhuatl central de Veracruz,030,085,Ixtaczoquitlán,0,1.0
0211,náhuatl,náhuatl central de Veracruz,030,137,Los Reyes,0,1.0
0211,náhuatl,náhuatl central de Veracruz,030,098,Magdalena,0,1.0
0211,náhuatl,náhuatl central de Veracruz,030,110,Mixtla de Altamirano,0,1.0
0211,náhuatl,náhuatl central de Veracruz,030,115,Nogales,0,1.0
0211,náhuatl,náhuatl central de Veracruz,030,117,Omealca,0,1.0
0211,náhuatl,náhuatl central de Veracruz,030,135,Rafael Delgado,0,1.0
0211,náhuatl,náhuatl central de Veracruz,030,140,San Andrés Tenejapan,0,1.0
0211,náhuatl,náhuatl central de Veracruz,030,147,Soledad Atzompa,0,1.0
0211,náhuatl,náhuatl central de Veracruz,030,168,Tequila,0,1.0
0211,náhuatl,náhuatl central de Veracruz,030,171,Texhuacán,0,1.0
0211,náhuatl,náhuatl central de Veracruz,030,173,Tezonapa,0,1.0
0211,náhuatl,náhuatl central de Veracruz,030,184,Tlaquilpa,0,1.0
0211,náhuatl,náhuatl central de Veracruz,030,185,Tlilapan,0,1.0
0211,náhuatl,náhuatl central de Veracruz,030,195,Xoxocotla,0,1.0
0211,náhuatl,náhuatl central de Veracruz,030,201,Zongolica,0,1.0
0211,náhuatl,náhuatl de la Sierra oeste de Puebla,021,006,Ahuacatlán,0,1.0
0211,náhuatl,náhuatl de la Sierra oeste de Puebla,021,016,Aquixtla,0,1.0
0211,náhuatl,náhuatl de la Sierra oeste de Puebla,021,053,Chignahuapan,0,1.0
0211,náhuatl,náhuatl de la Sierra oeste de Puebla,021,167,Tepetzintla,0,1.0
0211,náhuatl,náhuatl de la Sierra oeste de Puebla,021,208,Zacatlán,0,1.0
0211,náhuatl,náhuatl alto del norte de Puebla,021,064,Francisco Z. Mena,0,1.0
0211,náhuatl,náhuatl alto del norte de Puebla,021,194,Venustiano Carranza,0,1.0
0211,náhuatl,náhuatl del Istmo bajo,030,149,Soteapan,0,1.0
0211,náhuatl,náhuatl del Istmo bajo,030,209,Tatahuicapan,0,1.0
0211,náhuatl,náhuatl del centro de Puebla,021,001,Acajete,0,1.0
0211,náhuatl,náhuatl del centro de Puebla,021,005,Acteopan,0,1.0
0211,náhuatl,náhuatl del centro de Puebla,021,019,Atlixco,0,1.0
0211,náhuatl,náhuatl del centro de Puebla,021,020,Atoyatempan,0,1.0
0211,náhuatl,náhuatl del centro de Puebla,021,026,Calpan,0,1.0
0211,náhuatl,náhuatl del centro de Puebla,021,033,Cohuecán,0,1.0
0211,náhuatl,náhuatl del centro de Puebla,021,069,Huaquechula,0,1.0
0211,náhuatl,náhuatl del centro de Puebla,021,074,Huejotzingo,0,1.0
0211,náhuatl,náhuatl del centro de Puebla,021,102,Nealticán,0,1.0
0211,náhuatl,náhuatl del centro de Puebla,021,106,Ocoyucan,0,1.0
0211,náhuatl,náhuatl del centro de Puebla,021,114,Puebla,0,1.0
0211,náhuatl,náhuatl del centro de Puebla,021,119,San Andrés Cholula,0,1.0
0211,náhuatl,náhuatl del centro de Puebla,021,131,San Juan Atzompa,0,1.0
0211,náhuatl,náhuatl del centro de Puebla,021,159,Teopantlán,0,1.0
0211,náhuatl,náhuatl del centro de Puebla,021,163,Tepatlaxco de Hidalgo,0,1.0
0211,náhuatl,náhuatl del centro de Puebla,021,166,Tepeojuma,0,1.0
0211,náhuatl,náhuatl del centro de Puebla,021,175,Tianguismanalco,0,1.0
0211,náhuatl,náhuatl del centro de Puebla,021,185,Tlapanalá,0,1.0
