cve_ageb,alcaldia,POBTOT,PHOG_IND,P3YM_HLI,P3HLINHE,P_3YMAS,P_15YMAS,PSINDER,VIVPARH_CV,VPH_INTER,VPH_PC,VPH_CEL,VPH_RADIO,VPH_STVP,VPH_SPMVPI,VPH_SINTIC,GRAPROES,im_conapo,gm_conapo,grs_coneval,tasa_phog_ind,tasa_p3ym_hli,tasa_p3hlinhe,tasa_psinder,tasa_vph_inter,tasa_vph_pc,tasa_vph_cel,tasa_vph_radio,tasa_vph_stvp,tasa_vph_spmvpi,tasa_vph_sintic,gm_orden,grs_orden
0901000010667,Álvaro Obregón,5010,162,73,3,4852,4064,1381,1457,988,767,1333,1170,749,400,5,10.46,0.9448,Medio,Bajo,3.23,1.5,0.06,27.56,67.81,52.64,91.49,80.3,51.41,27.45,0.34,3.0,2.0
0901000010671,Álvaro Obregón,4314,45,21,,4232,3715,886,1503,1403,1300,1466,1275,1154,907,,14.19,0.975,Muy bajo,Muy bajo,1.04,0.5,,20.54,93.35,86.49,97.54,84.83,76.78,60.35,,1.0,1.0
0901000011260,Álvaro Obregón,3638,19,91,0,3584,3237,567,966,956,919,952,875,885,816,0,14.02,0.9777,Muy bajo,Muy bajo,0.52,2.54,0.0,15.59,98.96,95.13,98.55,90.58,91.61,84.47,0.0,1.0,1.0
0901000011237,Álvaro Obregón,4443,28,25,0,4345,3913,900,1470,1256,1089,1368,1232,1017,716,0,12.78,0.9669,Muy bajo,Muy bajo,0.63,0.58,0.0,20.26,85.44,74.08,93.06,83.81,69.18,48.71,0.0,1.0,1.0
0901000011241,Álvaro Obregón,5752,67,56,0,5644,5065,906,2167,1994,1820,2072,1791,1608,1192,3,14.04,0.9768,Muy bajo,Muy bajo,1.16,0.99,0.0,15.75,92.02,83.99,95.62,82.65,74.2,55.01,0.14,1.0,1.0
0901000011580,Álvaro Obregón,6453,131,61,,6268,5242,1848,1785,1244,867,1592,1407,789,461,9,10.33,0.9495,Bajo,Bajo,2.03,0.97,,28.64,69.69,48.57,89.19,78.82,44.2,25.83,0.5,2.0,2.0
0901000011843,Álvaro Obregón,8392,182,85,0,8160,6892,2409,2450,1733,1423,2248,1987,1335,821,10,10.94,0.9388,Medio,Bajo,2.17,1.04,0.0,28.71,70.73,58.08,91.76,81.1,54.49,33.51,0.41,3.0,2.0
0901000011171,Álvaro Obregón,13918,123,101,,13556,11693,3214,4627,3856,3300,4387,3757,2895,2351,12,12.37,0.9633,Bajo,Muy bajo,0.88,0.75,,23.09,83.34,71.32,94.81,81.2,62.57,50.81,0.26,2.0,1.0
0901000012254,Álvaro Obregón,4676,159,67,0,4547,3874,1036,1371,1161,937,1310,1145,875,597,5,11.9,0.9684,Muy bajo,Muy bajo,3.4,1.47,0.0,22.16,84.68,68.34,95.55,83.52,63.82,43.54,0.36,1.0,1.0
090100001224A,Álvaro Obregón,3148,48,17,,3056,2547,643,818,661,507,769,635,432,270,,11.15,0.9582,Bajo,Bajo,1.52,0.56,,20.43,80.81,61.98,94.01,77.63,52.81,33.01,,2.0,2.0
0901000012288,Álvaro Obregón,5792,165,47,,5645,4843,1512,1500,1285,1089,1446,1269,1025,699,3,11.84,0.9671,Muy bajo,Muy bajo,2.85,0.83,,26.1,85.67,72.6,96.4,84.6,68.33,46.6,0.2,1.0,1.0
0901000010898,Álvaro Obregón,2279,61,27,0,2210,1856,623,637,528,432,595,564,409,250,,11.45,0.96,Bajo,Muy bajo,2.68,1.22,0.0,27.34,82.89,67.82,93.41,88.54,64.21,39.25,,2.0,1.0
0901000012339,Álvaro Obregón,3534,13,35,0,3433,2682,562,855,785,714,842,723,690,620,0,13.06,0.9755,Muy bajo,Muy bajo,0.37,1.02,0.0,15.9,91.81,83.51,98.48,84.56,80.7,72.51,0.0,1.0,1.0
0901000010313,Álvaro Obregón,5423,103,41,0,5251,4390,1198,1300,938,659,1174,1099,766,307,3,10.06,0.9509,Bajo,Bajo,1.9,0.78,0.0,22.09,72.15,50.69,90.31,84.54,58.92,23.62,0.23,2.0,2.0
0901000012023,Álvaro Obregón,4169,169,69,,4026,3211,1275,1081,654,445,995,808,459,199,,9.75,0.9458,Medio,Bajo,4.05,1.71,,30.58,60.5,41.17,92.04,74.75,42.46,18.41,,3.0,2.0
0901000012324,Álvaro Obregón,2742,45,12,0,2635,2147,776,667,462,324,612,541,325,175,,10.16,0.9462,Medio,Bajo,1.64,0.46,0.0,28.3,69.27,48.58,91.75,81.11,48.73,26.24,,3.0,2.0
090100001231A,Álvaro Obregón,2927,70,25,,2836,2348,659,814,676,485,766,671,484,325,,11.4,0.9585,Bajo,Bajo,2.39,0.88,,22.51,83.05,59.58,94.1,82.43,59.46,39.93,,2.0,2.0
0901000012095,Álvaro Obregón,5597,151,45,0,5433,4522,1504,1598,1180,909,1472,1276,853,473,5,10.99,0.9544,Bajo,Bajo,2.7,0.83,0.0,26.87,73.84,56.88,92.12,79.85,53.38,29.6,0.31,2.0,2.0
