anio,lengua,lengua_nombre,tipo,ent,ent_nombre,mun,num,casos
1990,0602,Maya,nacimiento,025,Sinaloa,,10.0,1
1990,0604,Ch'ol,nacimiento,007,Chiapas,,40.0,4
1990,0604,Ch'ol,nacimiento,027,Tabasco,,40.0,4
1990,0604,Ch'ol,nacimiento,009,Ciudad de México,,10.0,1
1990,0606,Tseltal,nacimiento,007,Chiapas,,240.0,24
1990,0606,Tseltal,nacimiento,009,Ciudad de México,,70.0,7
1990,0606,Tseltal,nacimiento,005,Coahuila,,10.0,1
1990,0606,Tseltal,nacimiento,249,Otro país,,10.0,1
1990,0606,Tseltal,nacimiento,014,Jalisco,,10.0,1
1990,0606,Tseltal,nacimiento,030,Veracruz,,10.0,1
1990,0607,Tsotsil,nacimiento,007,Chiapas,,190.0,19
1990,0607,Tsotsil,nacimiento,009,Ciudad de México,,30.0,3
1990,0607,Tsotsil,nacimiento,020,Oaxaca,,10.0,1
1990,0607,Tsotsil,nacimiento,423,Otro país,,10.0,1
1990,0607,Tsotsil,nacimiento,011,Guanajuato,,10.0,1
1990,0607,Tsotsil,nacimiento,002,Baja California,,10.0,1
1990,0608,Q'anjob'al,nacimiento,012,Guerrero,,10.0,1
1990,0611,Qato'k,nacimiento,012,Guerrero,,10.0,1
1990,0613,Tojolabal,nacimiento,402,Otro país,,20.0,2
1990,0613,Tojolabal,nacimiento,009,Ciudad de México,,10.0,1
1990,0613,Tojolabal,nacimiento,007,Chiapas,,10.0,1
1990,0614,Q'eqchi',nacimiento,218,Otro país,,20.0,2
1990,0614,Q'eqchi',nacimiento,224,Otro país,,20.0,2
1990,0614,Q'eqchi',nacimiento,209,Otro país,,10.0,1
1990,0614,Q'eqchi',nacimiento,236,Otro país,,10.0,1
1990,0615,K'iche',nacimiento,001,Aguascalientes,,10.0,1
1990,0618,Mam,nacimiento,224,Otro país,,20.0,2
1990,0701,Totonaco,nacimiento,021,Puebla,,1320.0,132
1990,0701,Totonaco,nacimiento,030,Veracruz,,1230.0,123
1990,0701,Totonaco,nacimiento,009,Ciudad de México,,100.0,10
1990,0701,Totonaco,nacimiento,020,Oaxaca,,60.0,6
1990,0701,Totonaco,nacimiento,029,Tlaxcala,,40.0,4
1990,0701,Totonaco,nacimiento,013,Hidalgo,,30.0,3
1990,0701,Totonaco,nacimiento,012,Guerrero,,20.0,2
1990,0701,Totonaco,nacimiento,022,Querétaro,,10.0,1
1990,0701,Totonaco,nacimiento,016,Michoacán,,10.0,1
1990,0702,Tepehua,nacimiento,013,Hidalgo,,100.0,10
1990,0702,Tepehua,nacimiento,030,Veracruz,,40.0,4
1990,0702,Tepehua,nacimiento,249,Otro país,,10.0,1
1990,0702,Tepehua,nacimiento,021,Puebla,,10.0,1
1990,0801,Tarasco (purépecha),nacimiento,016,Michoacán,,1210.0,121
1990,0801,Tarasco (purépecha),nacimiento,009,Ciudad de México,,70.0,7
1990,0801,Tarasco (purépecha),nacimiento,011,Guanajuato,,40.0,4
